Sp_pepid	domain_id	SourceDB	start	end	score	evalue
SBI_5048994	JmjN	PFAM	103	136	68.2	3.1e-17
SBI_5048994	JmjC	PFAM	279	402	183.4	6.4e-52
SBI_5048994	zf-C5HC2	PFAM	501	554	62.2	2e-15
SBI_5049027	NAM	PFAM	6	134	301.9	1.4e-87
SBI_5049055	Myb_DNA-binding	PFAM	90	137	53.5	8.2e-13
SBI_5049059	AP2	PFAM	104	156	78.1	3.2e-20
SBI_5049065	HD-ZIP_N	PFAM	5	162	88.5	2.3e-23
SBI_5049065	Homeobox	PFAM	195	249	68.8	2e-17
SBI_5049065	HALZ	PFAM	250	294	78	3.5e-20
SBI_5049153	POX	PFAM	162	289	196.4	7.8e-56
SBI_5049153	Homeobox	PFAM	346	404	2.7	0.0065
SBI_5049161	SWIRM	PFAM	475	566	56.5	1e-13
SBI_5049161	DAO	PFAM	733	1127	-27.1	0.00067
SBI_5049161	Amino_oxidase	PFAM	741	1226	328.4	1.5e-95
SBI_5049162	NAM	PFAM	5	138	301.6	1.6e-87
SBI_5049202	AA_kinase	PFAM	95	329	-6.1	7.1e-05
SBI_5049202	Acetyltransf_1	PFAM	487	561	60.8	5.3e-15
SBI_5049424	zf-B_box	PFAM	50	97	50.7	5.5e-12
SBI_5049424	CCT	PFAM	368	412	75	2.7e-19
SBI_5049432	WRC	PFAM	4	49	75.4	2.1e-19
SBI_5049432	JmjC	PFAM	689	805	12.6	5.8e-05
SBI_5049476	WRKY	PFAM	109	171	108.5	2.3e-29
SBI_5049510	Myb_DNA-binding	PFAM	49	100	54.8	3.3e-13
SBI_5049514	EIN3	PFAM	78	467	883.7	1e-262
SBI_5049663	Response_reg	PFAM	82	196	83.2	9.3e-22
SBI_5049663	CCT	PFAM	710	754	82	2.2e-21
SBI_5049785	FAR1	PFAM	70	163	131.4	3e-36
SBI_5049785	FAR1	PFAM	207	301	134.3	3.8e-37
SBI_5049873	Homeobox	PFAM	130	184	62.9	1.2e-15
SBI_5049873	HALZ	PFAM	185	229	74.4	4.2e-19
SBI_5049892	HSF_DNA-bind	PFAM	49	226	228.9	1.3e-65
SBI_5049909	NAM	PFAM	22	152	-9	1.3e-06
SBI_5049945	B3	PFAM	8	107	41.4	3.5e-09
SBI_5050014	Acetyltransf_1	PFAM	103	184	38.8	2.1e-08
SBI_5050019	GRAS	PFAM	165	536	566.2	3.7e-167
SBI_5050036	CG-1	PFAM	18	136	302.2	1.1e-87
SBI_5050036	Ank	PFAM	606	638	5.8	5.3
SBI_5050036	Ank	PFAM	639	671	35.4	2.2e-07
SBI_5050036	IQ	PFAM	814	834	21.8	0.0029
SBI_5050036	IQ	PFAM	837	857	28.9	2.1e-05
SBI_5050047	HLH	PFAM	127	178	61.1	4.2e-15
SBI_5050072	AP2	PFAM	83	134	74.8	3.2e-19
SBI_5050080	tify	PFAM	89	124	76.5	9.9e-20
SBI_5050080	CCT_2	PFAM	145	171	52.3	1.9e-12
SBI_5050081	tify	PFAM	58	93	67.2	6e-17
SBI_5050081	CCT_2	PFAM	111	137	41.7	3e-09
SBI_5050095	AP2	PFAM	265	322	40.5	6.8e-09
SBI_5050095	AP2	PFAM	364	416	56	1.4e-13
SBI_5050143	POX	PFAM	147	285	210.5	4.3e-60
SBI_5050143	Homeobox	PFAM	336	394	0.9	0.0098
SBI_5050275	RWP-RK	PFAM	598	649	113.4	7.5e-31
SBI_5050275	PB1	PFAM	820	903	84	5.4e-22
SBI_5050285	HLH	PFAM	155	200	22.9	0.00063
SBI_5050387	Myb_DNA-binding	PFAM	323	373	36.7	9.5e-08
SBI_5050489	Myb_DNA-binding	PFAM	237	288	37.1	6.9e-08
SBI_5050628	CXC	PFAM	461	502	81.9	2.3e-21
SBI_5050628	CXC	PFAM	547	588	82.4	1.6e-21
SBI_5050648	HLH	PFAM	122	171	33	1.2e-06
SBI_5050654	AUX_IAA	PFAM	8	200	257.1	4.2e-74
SBI_5050836	DUF1004	PFAM	2	349	430.9	2e-126
SBI_5050950	AP2	PFAM	172	224	66	1.4e-16
SBI_5051025	Myb_DNA-binding	PFAM	47	98	42.2	2e-09
SBI_5051031	SET	PFAM	111	240	192	1.6e-54
SBI_5051033	Myb_DNA-binding	PFAM	368	418	30.2	8.2e-06
SBI_5051037	Homeobox	PFAM	11	77	4.9	0.0039
SBI_5051059	SANTA	PFAM	122	232	40.7	5.6e-09
SBI_5051093	zf-CCCH	PFAM	295	321	17.4	0.0075
SBI_5051093	zf-CCCH	PFAM	327	353	25.9	0.00016
SBI_5051093	CwfJ_C_1	PFAM	362	483	148.2	2.5e-41
SBI_5051093	CwfJ_C_2	PFAM	492	587	91.5	3e-24
SBI_5051139	JmjC	PFAM	445	556	30	1.7e-06
SBI_5051168	SET	PFAM	56	297	145.7	1.4e-40
SBI_5051168	Rubis-subs-bind	PFAM	320	447	192.2	1.4e-54
SBI_5051178	ZF-HD_dimer	PFAM	31	92	136.5	8.4e-38
SBI_5051187	WRKY	PFAM	166	226	130.5	5.3e-36
SBI_5051282	HSF_DNA-bind	PFAM	24	225	139.6	9.5e-39
SBI_5051285	AP2	PFAM	143	194	78.4	2.6e-20
SBI_5051325	HLH	PFAM	237	287	66	1.4e-16
SBI_5051349	WRKY	PFAM	404	463	152.5	1.3e-42
SBI_5051374	EIN3	PFAM	38	417	732	4.5e-217
SBI_5051393	NAM	PFAM	9	136	203.9	4.2e-58
SBI_5051465	bZIP_2	PFAM	179	233	30.3	8e-06
SBI_5051465	bZIP_1	PFAM	181	242	30.6	6.3e-06
SBI_5051514	Homeobox	PFAM	33	87	70.1	8e-18
SBI_5051514	HALZ	PFAM	88	132	29.8	1.1e-05
SBI_5051524	Response_reg	PFAM	46	160	102.2	1.8e-27
SBI_5051550	Myb_DNA-binding	PFAM	14	61	47.6	4.9e-11
SBI_5051550	Myb_DNA-binding	PFAM	67	112	56.5	1e-13
SBI_5051630	zf-C2H2	PFAM	35	58	19	0.019
SBI_5051632	QLQ	PFAM	115	151	59.7	1.1e-14
SBI_5051632	WRC	PFAM	182	227	89.8	9.9e-24
SBI_5051793	HLH	PFAM	90	141	43.1	1.1e-09
SBI_5051800	GRAS	PFAM	199	570	592.7	4e-175
SBI_5051904	DUF822	PFAM	13	178	313.8	3.5e-91
SBI_5051915	mTERF	PFAM	164	471	62	2.3e-15
SBI_5051916	GRAS	PFAM	177	547	624.7	8.9e-185
SBI_5051925	AA_kinase	PFAM	84	318	3	1.9e-05
SBI_5051925	Acetyltransf_1	PFAM	508	582	59	1.7e-14
SBI_5052031	AP2	PFAM	99	150	72.4	1.6e-18
SBI_5052081	HLH	PFAM	37	87	13.9	0.0058
SBI_5052105	Myb_DNA-binding	PFAM	14	61	53.7	7.2e-13
SBI_5052105	Myb_DNA-binding	PFAM	67	112	50.2	7.8e-12
SBI_5052111	SNF2_N	PFAM	219	498	25.6	3.4e-10
SBI_5052111	Helicase_C	PFAM	547	625	69.7	1.1e-17
SBI_5052190	Chromo	PFAM	462	516	64.4	4.2e-16
SBI_5052190	SNF2_N	PFAM	554	840	416.1	5.9e-122
SBI_5052190	Helicase_C	PFAM	901	980	95.1	2.4e-25
SBI_5052209	zf-B_box	PFAM	12	59	45	2.9e-10
SBI_5052209	CCT	PFAM	367	411	78.1	3.1e-20
SBI_5052238	AP2	PFAM	68	119	71.8	2.5e-18
SBI_5052247	bZIP_1	PFAM	166	229	32.6	1.6e-06
SBI_5052247	bZIP_2	PFAM	166	220	25.4	0.00023
SBI_5052248	B3	PFAM	364	467	96.4	1e-25
SBI_5052248	zf-CW	PFAM	630	675	73.3	9.1e-19
SBI_5052251	WRKY	PFAM	125	187	100.9	4.3e-27
SBI_5052264	NAM	PFAM	19	147	287.3	3.4e-83
SBI_5052273	zf-Dof	PFAM	137	199	140.5	5.3e-39
SBI_5052274	Myb_DNA-binding	PFAM	45	96	52.2	2.1e-12
SBI_5052283	Myb_DNA-binding	PFAM	25	72	55.5	2.1e-13
SBI_5052283	Myb_DNA-binding	PFAM	78	123	50.9	4.8e-12
SBI_5052336	Myb_DNA-binding	PFAM	198	248	40.5	6.8e-09
SBI_5052341	RWP-RK	PFAM	588	639	108.3	2.5e-29
SBI_5052341	PB1	PFAM	839	921	83.3	8.8e-22
SBI_5052346	HLH	PFAM	465	514	49	1.9e-11
SBI_5052416	HLH	PFAM	75	124	51.9	2.4e-12
SBI_5052462	zf-B_box	PFAM	1	47	38.1	3.6e-08
SBI_5052462	zf-B_box	PFAM	53	100	49.3	1.5e-11
SBI_5052502	Myb_DNA-binding	PFAM	128	175	55.5	2e-13
SBI_5052516	Myb_DNA-binding	PFAM	103	150	44.1	5.6e-10
SBI_5052626	Myb_DNA-binding	PFAM	5	57	32.8	1.3e-06
SBI_5052626	Linker_histone	PFAM	123	191	25.4	2.6e-06
SBI_5052638	HLH	PFAM	50	99	32.7	1.5e-06
SBI_5052811	HLH	PFAM	32	101	28.4	2.9e-05
SBI_5052896	NAM	PFAM	9	137	253.2	6.1e-73
SBI_5052947	Myb_DNA-binding	PFAM	57	103	51.4	3.5e-12
SBI_5052947	Myb_DNA-binding	PFAM	109	154	53.9	6.2e-13
SBI_5053005	PP2C	PFAM	83	347	257.2	4e-74
SBI_5053085	GATA	PFAM	126	161	70.8	4.9e-18
SBI_5053112	SNF2_N	PFAM	197	475	471.2	1.5e-138
SBI_5053112	Helicase_C	PFAM	530	609	101.5	2.9e-27
SBI_5053112	HAND	PFAM	755	841	32.1	3.3e-09
SBI_5053112	SLIDE	PFAM	897	1010	245.2	1.6e-70
SBI_5053190	zf-C2HC_plant	PFAM	88	142	72.3	1.7e-18
SBI_5053190	zf-C2HC_plant	PFAM	224	273	44.2	4.9e-10
SBI_5053190	zf-C2HC_plant	PFAM	521	574	28.9	1.7e-05
SBI_5053190	PHD	PFAM	1112	1157	49.8	1e-11
SBI_5053368	HSF_DNA-bind	PFAM	32	220	157.9	3.1e-44
SBI_5053449	WRKY	PFAM	143	205	110.7	5.1e-30
SBI_5053477	WRKY	PFAM	208	267	146.7	6.9e-41
SBI_5053492	B3	PFAM	145	250	110.3	6.4e-30
SBI_5053492	Auxin_resp	PFAM	272	353	161.5	2.5e-45
SBI_5053493	NAM	PFAM	66	207	201.6	2.2e-57
SBI_5053503	Tub	PFAM	103	354	363.5	3.9e-106
SBI_5053587	HLH	PFAM	295	342	22.9	0.00063
SBI_5053603	B3	PFAM	74	178	60.4	6.7e-15
SBI_5053650	WRKY	PFAM	93	153	124.7	3.1e-34
SBI_5053693	SWIB	PFAM	605	680	85.8	1.6e-22
SBI_5053693	Plus-3	PFAM	743	850	156.9	6.2e-44
SBI_5053693	GYF	PFAM	1068	1123	39.7	1.1e-08
SBI_5053712	WRKY	PFAM	97	157	132.2	1.7e-36
SBI_5053749	CXC	PFAM	109	149	65.6	1.9e-16
SBI_5053749	CXC	PFAM	193	234	88.5	2.3e-23
SBI_5053773	BSD	PFAM	204	264	68.6	2.3e-17
SBI_5053814	SNF2_N	PFAM	525	922	156.5	7.8e-44
SBI_5053814	zf-C3HC4	PFAM	960	1000	22.8	0.00025
SBI_5053814	Helicase_C	PFAM	1119	1197	79.8	9.8e-21
SBI_5053852	AP2	PFAM	32	83	83.2	9.3e-22
SBI_5053907	NAM	PFAM	22	150	305.3	1.3e-88
SBI_5053921	WRKY	PFAM	122	185	83	1e-21
SBI_5053970	CCT	PFAM	193	237	89.4	1.3e-23
SBI_5053987	Homeobox	PFAM	44	105	50.1	8.7e-12
SBI_5053996	GRAS	PFAM	430	800	523.9	2e-154
SBI_5054025	Myb_DNA-binding	PFAM	95	141	54.3	4.7e-13
SBI_5054025	Myb_DNA-binding	PFAM	147	192	44.8	3.4e-10
SBI_5054036	Myb_DNA-binding	PFAM	32	81	43.8	6.9e-10
SBI_5054036	Myb_DNA-binding	PFAM	141	188	55.4	2.2e-13
SBI_5054057	zf-C2H2	PFAM	246	268	22	0.0025
SBI_5054084	bZIP_1	PFAM	178	235	48.6	2.4e-11
SBI_5054084	bZIP_2	PFAM	178	236	40.4	7e-09
SBI_5054158	NAM	PFAM	42	170	293.5	4.7e-85
SBI_5054224	mTERF	PFAM	51	361	7.4	1.5e-08
SBI_5054245	HLH	PFAM	287	337	36.5	1.1e-07
SBI_5054282	CG-1	PFAM	15	133	269.3	8.9e-78
SBI_5054282	Ank	PFAM	512	544	5.2	6.6
SBI_5054282	Ank	PFAM	545	577	30.8	5.5e-06
SBI_5054282	IQ	PFAM	713	733	22.8	0.0014
SBI_5054282	IQ	PFAM	736	756	23.2	0.0011
SBI_5054291	TCP	PFAM	85	305	155.8	1.3e-43
SBI_5054300	tify	PFAM	18	52	43.6	7.8e-10
SBI_5054300	CCT_2	PFAM	79	101	24.6	0.00039
SBI_5054452	FAR1	PFAM	26	118	116.7	7.5e-32
SBI_5054477	GATA	PFAM	41	76	75.3	2.2e-19
SBI_5054501	SRF-TF	PFAM	49	99	107.9	3.4e-29
SBI_5054501	K-box	PFAM	115	213	81.6	2.8e-21
SBI_5054613	SWIB	PFAM	52	129	116.2	1.1e-31
SBI_5054652	Myb_DNA-binding	PFAM	239	290	41.1	4.3e-09
SBI_5054656	SBP	PFAM	179	257	182.1	1.6e-51
SBI_5054671	PHD	PFAM	173	228	46.2	1.3e-10
SBI_5054671	Homeobox	PFAM	418	476	14	0.00051
SBI_5054714	B3	PFAM	133	238	115.3	2e-31
SBI_5054714	Auxin_resp	PFAM	260	343	190.9	3.5e-54
SBI_5054744	Myb_DNA-binding	PFAM	47	98	45.7	1.8e-10
SBI_5054790	Response_reg	PFAM	30	141	105.6	1.7e-28
SBI_5054790	Myb_DNA-binding	PFAM	215	265	51.3	3.9e-12
SBI_5054812	Myb_DNA-binding	PFAM	12	58	59.6	1.2e-14
SBI_5054812	Myb_DNA-binding	PFAM	64	109	49.1	1.7e-11
SBI_5054835	bZIP_2	PFAM	127	181	28.5	2.7e-05
SBI_5054839	zf-CCCH	PFAM	35	61	17.6	0.0072
SBI_5054839	zf-CCCH	PFAM	95	121	29.3	1.5e-05
SBI_5054839	KH_1	PFAM	167	229	49.1	1.7e-11
SBI_5054839	zf-CCCH	PFAM	261	286	40	9.3e-09
SBI_5055189	HSF_DNA-bind	PFAM	65	230	195.1	1.9e-55
SBI_5055252	PC4	PFAM	14	97	99.6	1.1e-26
SBI_5055266	B3	PFAM	121	226	117.4	4.8e-32
SBI_5055266	Auxin_resp	PFAM	248	333	165.2	1.9e-46
SBI_5055266	AUX_IAA	PFAM	426	634	-74.8	0.00047
SBI_5055311	zf-C2H2	PFAM	177	199	31.9	2.5e-06
SBI_5055311	zf-C2H2	PFAM	268	292	18.7	0.024
SBI_5055412	zf-B_box	PFAM	1	47	42.9	1.3e-09
SBI_5055412	zf-B_box	PFAM	52	99	30.9	5.2e-06
SBI_5055459	Response_reg	PFAM	36	150	44.9	3.2e-10
SBI_5055459	CCT	PFAM	449	493	81.5	3.1e-21
SBI_5055551	HLH	PFAM	9	57	17	0.0027
SBI_5055556	NAM	PFAM	16	144	296.5	5.9e-86
SBI_5055610	SET	PFAM	59	304	120.4	6e-33
SBI_5055610	Rubis-subs-bind	PFAM	344	469	118.9	1.7e-32
SBI_5055618	zf-B_box	PFAM	17	64	51.2	4e-12
SBI_5055618	CCT	PFAM	428	472	87.1	6.4e-23
SBI_5055639	HLH	PFAM	180	230	62.1	2.2e-15
SBI_5055641	BSD	PFAM	141	201	56	1.4e-13
SBI_5055646	SET	PFAM	78	306	158.2	2.4e-44
SBI_5055646	Rubis-subs-bind	PFAM	331	466	125.7	1.5e-34
SBI_5055648	zf-B_box	PFAM	1	47	42.6	1.5e-09
SBI_5055648	zf-B_box	PFAM	48	90	27.8	4.5e-05
SBI_5055648	CCT	PFAM	349	393	81.3	3.5e-21
SBI_5055722	F-box	PFAM	69	124	25	0.00031
SBI_5055722	Tub	PFAM	135	427	420.9	2.1e-123
SBI_5055745	Myb_DNA-binding	PFAM	30	81	45.3	2.3e-10
SBI_5055772	HLH	PFAM	98	149	60.7	5.4e-15
SBI_5055810	zf-CCCH	PFAM	29	53	7.5	0.16
SBI_5055810	zf-CCCH	PFAM	104	130	25.1	0.00028
SBI_5055810	WD40	PFAM	136	174	34.9	3.2e-07
SBI_5055810	WD40	PFAM	259	295	27.2	6.8e-05
SBI_5055810	WD40	PFAM	299	335	30.1	9e-06
SBI_5055821	zf-C2H2	PFAM	91	113	26.9	8.3e-05
SBI_5055821	zf-C2H2	PFAM	168	190	19.9	0.01
SBI_5055894	zf-B_box	PFAM	1	47	42.8	1.3e-09
SBI_5055894	zf-B_box	PFAM	66	113	52.6	1.5e-12
SBI_5055942	bZIP_1	PFAM	262	319	45.8	1.7e-10
SBI_5055942	bZIP_2	PFAM	262	317	49.6	1.2e-11
SBI_5055957	PHD	PFAM	297	343	41.2	4e-09
SBI_5055957	PHD	PFAM	1056	1103	26.2	3.5e-05
SBI_5055981	QLQ	PFAM	17	53	64.3	4.5e-16
SBI_5055981	WRC	PFAM	89	134	98.5	2.3e-26
SBI_5056004	AP2	PFAM	113	164	74.6	3.7e-19
SBI_5056046	HLH	PFAM	202	251	46.7	9.2e-11
SBI_5056092	JmjN	PFAM	158	191	72	2.2e-18
SBI_5056092	JmjC	PFAM	385	501	237.6	3.2e-68
SBI_5056092	zf-C5HC2	PFAM	607	660	88.7	2.1e-23
SBI_5056092	FYRN	PFAM	1005	1057	68.5	2.5e-17
SBI_5056092	FYRC	PFAM	1060	1152	101.5	2.9e-27
SBI_5056093	NAM	PFAM	10	146	260.8	3.1e-75
SBI_5056109	LisH	PFAM	10	36	36.3	1.2e-07
SBI_5056109	WD40	PFAM	558	596	33.7	7.4e-07
SBI_5056109	WD40	PFAM	601	640	30.6	6.2e-06
SBI_5056109	WD40	PFAM	683	720	30.4	7.3e-06
SBI_5056109	WD40	PFAM	765	803	30.9	5.1e-06
SBI_5056134	AUX_IAA	PFAM	40	280	138.5	2.1e-38
SBI_5056149	DUF260	PFAM	27	128	226.4	7e-65
SBI_5056188	TCP	PFAM	31	127	156.8	6.5e-44
SBI_5056233	Myb_DNA-binding	PFAM	85	136	44.1	5.4e-10
SBI_5056272	AP2	PFAM	83	135	74.5	4e-19
SBI_5056282	GRAS	PFAM	222	583	658.8	5.1e-195
SBI_5056283	zf-CCCH	PFAM	147	172	29.6	1.2e-05
SBI_5056292	ZF-HD_dimer	PFAM	23	82	123.5	7e-34
SBI_5056296	AP2	PFAM	82	143	57.4	5.6e-14
SBI_5056296	AP2	PFAM	185	237	67.3	5.7e-17
SBI_5056330	BTB	PFAM	15	161	32.2	2.1e-06
SBI_5056330	Ank	PFAM	286	319	14.8	0.26
SBI_5056330	Ank	PFAM	321	353	38.8	2.2e-08
SBI_5056377	Response_reg	PFAM	57	171	110.7	4.9e-30
SBI_5056377	CCT	PFAM	641	685	89.6	1.1e-23
SBI_5056382	POX	PFAM	172	314	239.4	8.8e-69
SBI_5056382	Homeobox	PFAM	367	425	5.5	0.0035
SBI_5056391	F-box	PFAM	51	106	27.5	5.4e-05
SBI_5056391	Tub	PFAM	117	450	527.1	2.2e-155
SBI_5056437	NAM	PFAM	9	134	283.1	6.1e-82
SBI_5056458	B3	PFAM	58	152	71.7	2.7e-18
SBI_5056458	B3	PFAM	334	432	44.1	5.6e-10
SBI_5056667	BSD	PFAM	155	215	64.3	4.4e-16
SBI_5056683	F-box	PFAM	73	120	26	0.00015
SBI_5056683	JmjC	PFAM	303	414	34.9	3.2e-07
SBI_5056731	HLH	PFAM	37	87	11	0.012
SBI_5056886	GRAS	PFAM	308	681	441.7	1.1e-129
SBI_5056910	zf-CCCH	PFAM	63	93	31.9	2.6e-06
SBI_5057103	zf-CCCH	PFAM	224	250	18.6	0.0053
SBI_5057103	RRM_1	PFAM	460	524	36.7	9.1e-08
SBI_5057200	SET	PFAM	79	208	187.5	3.7e-53
SBI_5057226	GRAS	PFAM	3	394	88.6	2.1e-23
SBI_5057241	B3	PFAM	128	233	119.8	9.2e-33
SBI_5057241	Auxin_resp	PFAM	255	340	159.4	1.1e-44
SBI_5057241	AUX_IAA	PFAM	497	642	-76.6	0.00064
SBI_5057261	GRAS	PFAM	217	592	344	3e-100
SBI_5057336	Acetyltransf_1	PFAM	176	267	31.1	4.6e-06
SBI_5057358	WRKY	PFAM	277	335	137.8	3.4e-38
SBI_5057358	WRKY	PFAM	501	560	152	1.8e-42
SBI_5057401	Radical_SAM	PFAM	117	329	53.9	6.1e-13
SBI_5057401	Acetyltransf_1	PFAM	465	560	28	3.8e-05
SBI_5057415	HLH	PFAM	155	203	40.6	6.2e-09
SBI_5057432	zf-B_box	PFAM	1	47	38.8	2.1e-08
SBI_5057432	zf-B_box	PFAM	58	105	33.6	8.2e-07
SBI_5057443	bZIP_2	PFAM	183	237	34	5.9e-07
SBI_5057443	bZIP_1	PFAM	185	246	31.2	4.1e-06
SBI_5057633	AP2	PFAM	137	189	82.7	1.4e-21
SBI_5057670	HLH	PFAM	395	444	47.8	4.1e-11
SBI_5057834	AP2	PFAM	20	71	78.8	2e-20
SBI_5057851	Rcd1	PFAM	42	304	618.1	8.8e-183
SBI_5057883	NAM	PFAM	11	155	236.9	4.9e-68
SBI_5058002	AP2	PFAM	73	124	66.2	1.2e-16
SBI_5058003	AP2	PFAM	122	172	61.1	4.2e-15
SBI_5058003	AP2	PFAM	215	266	59.9	9.9e-15
SBI_5058054	MED7	PFAM	4	169	268	2.2e-77
SBI_5058074	Myb_DNA-binding	PFAM	275	326	41.1	4.3e-09
SBI_5058137	B3	PFAM	299	402	56.2	1.2e-13
SBI_5058138	Myb_DNA-binding	PFAM	17	69	33.8	6.7e-07
SBI_5058138	Myb_DNA-binding	PFAM	127	174	40.1	8.5e-09
SBI_5058201	zf-C2H2	PFAM	234	257	27.6	5e-05
SBI_5058204	B3	PFAM	126	231	105.6	1.7e-28
SBI_5058204	Auxin_resp	PFAM	267	343	37.1	3.5e-08
SBI_5058207	NAM	PFAM	9	155	272.8	7.8e-79
SBI_5058210	WIYLD	PFAM	1	64	60.1	8.4e-15
SBI_5058210	Pre-SET	PFAM	463	611	26.6	1.9e-06
SBI_5058210	SET	PFAM	613	757	120	8e-33
SBI_5058225	B3	PFAM	243	346	51.5	3.3e-12
SBI_5058243	NAM	PFAM	14	163	254.2	3.1e-73
SBI_5058397	Myb_DNA-binding	PFAM	14	61	48.2	3.1e-11
SBI_5058397	Myb_DNA-binding	PFAM	67	112	55.7	1.8e-13
SBI_5058398	Myb_DNA-binding	PFAM	99	146	51.3	3.7e-12
SBI_5058429	B3	PFAM	56	155	106.5	8.8e-29
SBI_5058431	NAM	PFAM	12	146	301.7	1.6e-87
SBI_5058467	bZIP_1	PFAM	97	153	27	8e-05
SBI_5058467	bZIP_2	PFAM	97	147	21	0.0032
SBI_5058471	zf-B_box	PFAM	19	65	42.3	1.9e-09
SBI_5058542	AP2	PFAM	24	75	82.4	1.6e-21
SBI_5058544	AP2	PFAM	31	82	81.1	3.9e-21
SBI_5058547	WRKY	PFAM	365	423	135	2.3e-37
SBI_5058561	BTB	PFAM	176	282	60.1	8.6e-15
SBI_5058662	WRKY	PFAM	252	310	127.3	5e-35
SBI_5058662	WRKY	PFAM	419	478	137.7	3.7e-38
SBI_5058763	Myb_DNA-binding	PFAM	20	71	29.8	1.1e-05
SBI_5058868	WIYLD	PFAM	1	63	72.9	1.2e-18
SBI_5058868	Pre-SET	PFAM	401	550	28.1	1.4e-06
SBI_5058868	SET	PFAM	552	707	123.8	5.8e-34
SBI_5058941	zf-C2H2	PFAM	83	105	26.9	8.3e-05
SBI_5058941	zf-C2H2	PFAM	159	181	22.3	0.0021
SBI_5059023	SRF-TF	PFAM	36	86	101.9	2.2e-27
SBI_5059026	SBP	PFAM	108	186	171.9	1.8e-48
SBI_5059046	HLH	PFAM	200	250	35.1	2.8e-07
SBI_5059071	B3	PFAM	133	238	104.4	3.7e-28
SBI_5059071	Auxin_resp	PFAM	260	343	193.3	6.9e-55
SBI_5059084	SBP	PFAM	177	255	175.1	2e-49
SBI_5059101	EIN3	PFAM	39	426	706.2	2.7e-209
SBI_5059121	SWIB	PFAM	237	312	134.3	3.9e-37
SBI_5059121	SWIB	PFAM	343	420	95	2.6e-25
SBI_5059231	Response_reg	PFAM	47	173	71.7	2.6e-18
SBI_5059268	FHA	PFAM	122	189	56.8	8.2e-14
SBI_5059271	NAM	PFAM	20	148	301.4	1.9e-87
SBI_5059359	bZIP_2	PFAM	177	231	30.4	7.3e-06
SBI_5059359	bZIP_1	PFAM	179	240	30.1	8.7e-06
SBI_5059521	NAM	PFAM	11	147	218	2.4e-62
SBI_5059741	DUF906	PFAM	663	924	593.8	1.9e-175
SBI_5059741	zf-TAZ	PFAM	1142	1224	11.5	0.0011
SBI_5059759	Plant_zn_clust	PFAM	256	301	79	1.7e-20
SBI_5059759	WRKY	PFAM	303	363	141.5	2.7e-39
SBI_5059769	AUX_IAA	PFAM	6	273	378.1	1.6e-110
SBI_5059771	bZIP_1	PFAM	122	182	51.7	2.8e-12
SBI_5059771	bZIP_2	PFAM	122	176	50	9.2e-12
SBI_5059781	CXC	PFAM	99	140	41.5	3.4e-09
SBI_5059781	CXC	PFAM	175	216	66.6	9.5e-17
SBI_5059794	HLH	PFAM	315	364	66.7	8.9e-17
SBI_5059799	NAM	PFAM	13	113	121.9	2.1e-33
SBI_5059813	Homeobox	PFAM	26	86	65.3	2.3e-16
SBI_5059813	START	PFAM	177	387	216.4	7.3e-62
SBI_5059813	MEKHLA	PFAM	710	857	226	9.6e-65
SBI_5059814	CBFB_NFYA	PFAM	108	164	139	1.5e-38
SBI_5059865	NAM	PFAM	30	162	245.5	1.3e-70
SBI_5059881	POX	PFAM	199	340	265.7	1.1e-76
SBI_5059881	Homeobox	PFAM	390	448	6.9	0.0025
SBI_5060011	zf-C2H2	PFAM	75	97	23.4	0.00095
SBI_5060011	zf-C2H2	PFAM	103	127	30.8	5.6e-06
SBI_5060011	zf-C2H2	PFAM	132	157	25.2	0.00026
SBI_5060011	zf-C2H2	PFAM	169	193	32.7	1.5e-06
SBI_5060011	zf-C2H2	PFAM	259	284	22.1	0.0023
SBI_5060011	zf-C2H2	PFAM	290	316	20.1	0.0094
SBI_5060013	AP2	PFAM	179	229	37.7	4.6e-08
SBI_5060018	DUF260	PFAM	38	138	217.5	3.5e-62
SBI_5060026	Myb_DNA-binding	PFAM	813	858	37.7	4.8e-08
SBI_5060026	Myb_DNA-binding	PFAM	1023	1068	30.9	5e-06
SBI_5060037	KNOX1	PFAM	50	94	87.1	6e-23
SBI_5060037	KNOX2	PFAM	98	149	107.3	5e-29
SBI_5060037	ELK	PFAM	188	209	35.1	2.7e-07
SBI_5060037	Homeobox	PFAM	211	270	5.3	0.0036
SBI_5060087	Myb_DNA-binding	PFAM	139	186	31.6	3.1e-06
SBI_5060089	ResIII	PFAM	437	602	1.1	4.3e-05
SBI_5060089	SNF2_N	PFAM	443	729	461.1	1.6e-135
SBI_5060089	Helicase_C	PFAM	781	860	102.8	1.1e-27
SBI_5060175	B3	PFAM	24	119	46.7	8.9e-11
SBI_5060175	B3	PFAM	196	295	28.9	2.1e-05
SBI_5060175	B3	PFAM	426	534	32	2.4e-06
SBI_5060198	AUX_IAA	PFAM	23	200	162.4	1.4e-45
SBI_5060215	WRKY	PFAM	109	168	132.2	1.7e-36
SBI_5060234	Myb_DNA-binding	PFAM	120	167	49.6	1.2e-11
SBI_5060240	HLH	PFAM	222	271	49.8	1.1e-11
SBI_5060375	AP2	PFAM	51	102	79.9	9.2e-21
SBI_5060460	Arm	PFAM	169	217	30.8	5.5e-06
SBI_5060460	Arm	PFAM	219	259	44.8	3.4e-10
SBI_5060460	Arm	PFAM	261	301	42	2.3e-09
